Email,SMS,WHATSAPP,FIRSTNAME,LASTNAME,TESTBOOL,GENDER,DOB,TESTTEXT,TESTNUMBER,ORDER_PRICE,TESTTRANSACTIONALTEXT,TESTCALCULATED
testimport+1@brevo.com,919897961001,919897961001,test1,import1,yes,13-05-2021,test1,1,1,test1,1
testimport+2@brevo.com,919897961002,919897961002,test2,import2,no,2021=05-13,test2,2,2,test2,2
testimport+3@brevo.com,919897961003,919897961003,test3,import3,no,2021=05-13,test3,3,3,test3,3
testimport+4@brevo.com,919897961004,919897961004,test4,import4,no,2021=05-13,test4,4,4,test4,4
testimport+5@brevo.com,919897961005,919897961005,test5,import5,no,2021=05-13,test5,5,5,test5,5
testimport+6@brevo.com,919897961006,919897961006,test6,import6,no,2021=05-13,test6,6,6,test6,6
testimport+7@brevo.com,919897961007,919897961007,test7,import7,no,2021=05-13,test7,7,7,test7,7
testimport+8@brevo.com,919897961008,919897961008,test8,import8,no,2021=05-13,test8,8,8,test8,8
testimport+9@brevo.com,919897961009,919897961009,test9,import9,no,2021=05-13,test9,9,9,test9,9
testimport+10@brevo.com,919897961010,919897961010,test10,import10,no,2021=05-13,test10,10,10,test10,10
testimport+11@brevo.com,919897961011,919897961011,test11,import11,no,2021=05-13,test11,11,11,test11,11
testimport+12@brevo.com,919897961012,919897961012,test12,import12,no,2021=05-13,test12,12,12,test12,12
testimport+13@brevo.com,919897961013,919897961013,test13,import13,no,2021=05-13,test13,13,13,test13,13
testimport+14@brevo.com,919897961014,919897961014,test14,import14,no,2021=05-13,test14,14,14,test14,14
testimport+15@brevo.com,919897961015,919897961015,test15,import15,no,2021=05-13,test15,15,15,test15,15
testimport+16@brevo.com,919897961016,919897961016,test16,import16,no,2021=05-13,test16,16,16,test16,16
testimport+17@brevo.com,919897961017,919897961017,test17,import17,no,2021=05-13,test17,17,17,test17,17
testimport+18@brevo.com,919897961018,919897961018,test18,import18,no,2021=05-13,test18,18,18,test18,18
testimport+19@brevo.com,919897961019,919897961019,test19,import19,no,2021=05-13,test19,19,19,test19,19
testimport+20@brevo.com,919897961020,919897961020,test20,import20,no,2021=05-13,test20,20,20,test20,20
testimport+21@brevo.com,919897961021,919897961021,test21,import21,no,2021=05-13,test21,21,21,test21,21
testimport+22@brevo.com,919897961022,919897961022,test22,import22,no,2021=05-13,test22,22,22,test22,22
testimport+23@brevo.com,919897961023,919897961023,test23,import23,no,2021=05-13,test23,23,23,test23,23
testimport+24@brevo.com,919897961024,919897961024,test24,import24,no,2021=05-13,test24,24,24,test24,24
testimport+25@brevo.com,919897961025,919897961025,test25,import25,no,2021=05-13,test25,25,25,test25,25
testimport+26@brevo.com,919897961026,919897961026,test26,import26,no,2021=05-13,test26,26,26,test26,26
testimport+27@brevo.com,919897961027,919897961027,test27,import27,no,2021=05-13,test27,27,27,test27,27
testimport+28@brevo.com,919897961028,919897961028,test28,import28,no,2021=05-13,test28,28,28,test28,28
testimport+29@brevo.com,919897961029,919897961029,test29,import29,no,2021=05-13,test29,29,29,test29,29
testimport+30@brevo.com,919897961030,919897961030,test30,import30,no,2021=05-13,test30,30,30,test30,30
testimport+31@brevo.com,919897961031,919897961031,test31,import31,no,2021=05-13,test31,31,31,test31,31
testimport+32@brevo.com,919897961032,919897961032,test32,import32,no,2021=05-13,test32,32,32,test32,32
testimport+33@brevo.com,919897961033,919897961033,test33,import33,no,2021=05-13,test33,33,33,test33,33
testimport+34@brevo.com,919897961034,919897961034,test34,import34,no,2021=05-13,test34,34,34,test34,34
testimport+35@brevo.com,919897961035,919897961035,test35,import35,no,2021=05-13,test35,35,35,test35,35
